customer_id,sesso,età,data_iscrizione,tipo_abbonamento,prezzo_abbonamento,ultima_presenza,media_presenze_sett,giorni_da_ultima_presenza,churn
CUST0000,M,56,2023-07-29,trimestrale,80,2025-05-10,1.88,43,0
CUST0001,M,38,2025-01-06,trimestrale,80,2025-06-16,2.19,6,0
CUST0002,M,36,2024-05-28,trimestrale,80,2025-02-23,0.0,119,1
CUST0003,M,57,2023-08-06,mensile,30,2025-06-20,2.25,2,0
CUST0004,M,39,2024-11-04,trimestrale,80,2025-06-06,1.66,16,0
CUST0005,F,19,2024-02-08,mensile,30,2025-05-18,1.58,35,0
CUST0006,M,50,2024-01-06,trimestrale,80,2025-03-12,0.0,102,1
CUST0007,F,44,2023-11-23,mensile,30,2025-06-13,2.98,9,0
CUST0008,F,45,2023-08-19,mensile,30,2025-06-07,2.37,15,0
CUST0009,F,61,2023-07-24,annuale,280,2025-06-03,2.42,19,0
CUST0010,M,20,2023-09-25,trimestrale,80,2025-05-02,0.69,51,0
CUST0011,F,56,2024-07-17,mensile,30,2025-04-21,0.61,62,1
CUST0012,F,21,2024-06-04,trimestrale,80,2025-06-09,2.2,13,0
CUST0013,M,19,2025-04-12,trimestrale,80,2025-05-19,2.16,34,1
CUST0014,M,45,2024-03-26,annuale,280,2025-03-10,0.5,104,1
CUST0015,F,64,2024-04-12,trimestrale,80,2025-06-20,1.97,2,0
CUST0016,F,31,2023-07-22,mensile,30,2025-06-06,2.91,16,0
CUST0017,M,19,2023-10-10,trimestrale,80,2025-06-02,0.65,20,0
CUST0018,M,59,2025-04-13,mensile,30,2025-06-04,1.65,18,0
CUST0019,M,32,2024-07-30,trimestrale,80,2025-02-26,0.76,116,1
CUST0020,M,31,2023-10-19,mensile,30,2025-03-08,0.2,106,1
CUST0021,F,35,2024-10-13,mensile,30,2025-06-08,1.71,14,0
CUST0022,F,41,2023-12-14,mensile,30,2025-06-10,2.66,12,0
CUST0023,F,18,2023-12-03,mensile,30,2025-06-16,2.31,6,0
CUST0024,F,26,2023-11-04,trimestrale,80,2025-06-22,2.79,0,0
CUST0025,F,52,2024-05-31,mensile,30,2025-06-20,2.94,2,0
CUST0026,M,50,2024-07-19,trimestrale,80,2025-05-04,0.56,49,1
CUST0027,M,45,2023-11-22,annuale,280,2025-06-16,2.8,6,0
CUST0028,M,26,2024-05-21,trimestrale,80,2025-06-15,2.05,7,0
CUST0029,M,40,2024-10-08,mensile,30,2025-06-18,2.44,4,0
CUST0030,F,52,2024-02-09,trimestrale,80,2025-04-25,2.08,58,1
CUST0031,M,18,2025-03-06,trimestrale,80,2025-03-23,0.59,91,1
CUST0032,F,31,2023-07-09,trimestrale,80,2025-06-20,2.68,2,0
CUST0033,F,31,2024-03-03,mensile,30,2025-06-16,3.27,6,0
CUST0034,F,44,2024-11-30,annuale,280,2025-06-14,2.19,8,0
CUST0035,M,30,2024-09-06,annuale,280,2025-05-07,1.73,46,0
CUST0036,M,56,2025-01-16,mensile,30,2025-05-07,0.95,46,1
CUST0037,M,56,2025-01-06,trimestrale,80,2025-04-24,1.8,59,0
CUST0038,F,32,2024-05-13,annuale,280,2025-06-12,3.31,10,0
CUST0039,F,45,2023-07-22,mensile,30,2025-03-04,0.75,110,1
CUST0040,M,59,2024-10-24,mensile,30,2025-06-10,2.19,12,0
CUST0041,M,45,2023-12-31,annuale,280,2025-06-11,2.34,11,0
CUST0042,M,61,2023-08-15,mensile,30,2025-05-19,1.57,34,0
